Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq27757	2	0	5	8	2	4	1	16	9	113	134	87	564	1004	798	220	1509	468
Seq27758	0	0	0	0	0	0	0	34	0	58	10	3	2	594	197	24	84	30
Seq27759	0	0	0	0	0	0	0	0	0	9	3	1	19	61	75	18	35	10
Seq27760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Seq27761	0	0	0	0	0	0	0	12	0	0	1	0	2	175	3	2	77	0
Seq27762	0	0	0	0	0	0	0	0	0	0	2	3	68	55	132	6	63	16
Seq27763	0	0	0	0	0	0	0	0	0	5	5	1	62	14	54	5	23	3
Seq27764	15	15	0	0	0	0	173	4788	2	1	9	1	397	4519	19	1	3	15
Seq27765	0	0	0	0	1	0	0	1	1	10	19	3	3	102	137	10	74	4
Seq27766	0	1	1	2	4	3	0	0	0	11	19	49	26	49	27	9	470	160
Seq27767	12	1	13	8	17	3	0	1	15	14	13	19	3	7	11	14	19	12
Seq27768	0	0	2	2	0	0	0	0	0	0	33	29	0	102	166	2	28	127
Seq27769	0	0	1	0	0	0	0	0	0	0	6	0	7	4	14	7	129	8
Seq27770	0	0	0	0	0	0	0	1	0	1	8	0	4	78	16	4	103	0
Seq27771	0	0	0	0	0	0	0	1	0	0	4	0	27	6	59	66	76	1
Seq27772	0	0	0	0	0	1	0	0	0	2	1	14	15	1	3	0	1	49
Seq27773	0	0	0	0	0	1	0	23	0	3	2	4	185	53	6	4	7	10
Seq27774	0	0	0	10	1	1	0	4	2	4	3	11	350	35	64	15	68	168
Seq27775	0	0	3	1	2	1	0	12	3	210	47	140	166	572	431	132	238	347
Seq27776	0	0	1	0	0	0	0	2	0	11	8	1	59	38	28	12	95	32
Seq27777	0	0	0	0	0	0	0	0	2	4	4	14	41	51	107	4	8	7
Seq27778	0	0	0	0	0	0	0	1	0	3	0	2	6	25	59	4	12	10
Seq27779	2	2	4	11	13	4	7	42	15	147	210	43	395	305	1545	148	816	170
Seq27780	0	0	0	0	1	0	0	3	3	9	11	5	4	22	1108	9	40	20
Seq27781	0	1	0	1	0	2	0	20	0	39	24	43	203	1386	78	61	161	166
Seq27782	11	0	10	5	10	9	10678	0	4	9	106	16	55	129	161	52	554	13
Seq27783	0	0	0	0	2	0	1	2	1	1	9	1	251	49	79	6	47	11
Seq27784	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
Seq27785	0	0	0	0	0	0	0	1	0	0	4	3	19	27	14	3	41	15
Seq27786	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	4
Seq27787	0	0	0	1	0	1	0	0	0	0	1	3	0	4	4	1	11	0
Seq27788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Seq27789	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	3	0
